Title,Ratings,Book_format,Price,Cover
"Statistics for Machine Learning: Techniques for exploring supervised, unsupervised, and reinforcement learning models with Python and R",3.8 out of 5 stars,Paperback,£26.99,https://m.media-amazon.com/images/I/81nYRM+PyPL._AC_UY218_.jpg
Math for Machine Learning,,Prime Video,£0.99,https://m.media-amazon.com/images/I/61DV7yDa-QL._AC_UY218_.jpg
TensorFlow 2 Pocket Reference: Building and Deploying Machine Learning Models,5.0 out of 5 stars,Paperback,£14.05,https://m.media-amazon.com/images/I/71GgYhnG-nL._AC_UY218_.jpg
Data Science and Machine Learning: Mathematical and Statistical Methods (Chapman & Hall/CRC Machine Learning & Pattern Recognition),4.7 out of 5 stars,Hardcover,£70.30,https://m.media-amazon.com/images/I/71n59dZHgPL._AC_UY218_.jpg
The Machine Learning Solutions Architect Handbook: Create machine learning platforms to run solutions in an enterprise setting,5.0 out of 5 stars,Paperback,£33.99,https://m.media-amazon.com/images/I/61f++N-wLYL._AC_UY218_.jpg
Natural Language Processing with Transformers: Building Language Applications with Hugging Face,4.4 out of 5 stars,Paperback,£34.51,https://m.media-amazon.com/images/I/81P2sVWFBEL._AC_UY218_.jpg
"MATLAB for Machine Learning: Practical examples of regression, clustering and neural networks",4.3 out of 5 stars,Paperback,£41.99,https://m.media-amazon.com/images/I/611muyRnDkL._AC_UY218_.jpg
Practical Machine Learning for Computer Vision: End-to-End Machine Learning for Images,4.4 out of 5 stars,Paperback,£39.69,https://m.media-amazon.com/images/I/81OAX7XZ9DL._AC_UY218_.jpg
"Learn Amazon SageMaker: A guide to building, training, and deploying machine learning models for developers and data scientists, 2nd Edition",4.5 out of 5 stars,Paperback,£33.99,https://m.media-amazon.com/images/I/614Dy9JraNL._AC_UY218_.jpg
Building Machine Learning Pipelines: Automating Model Life Cycles with Tensorflow,4.3 out of 5 stars,Paperback,£35.99,https://m.media-amazon.com/images/I/81Vimh5phfL._AC_UY218_.jpg
"Machine Learning, revised and updated edition (The MIT Press Essential Knowledge series)",4.5 out of 5 stars,Paperback,£10.41,https://m.media-amazon.com/images/I/71db2qR2nMS._AC_UY218_.jpg
Basics Of Machine Learning: Train A Machine Learning Model: Artificial Intelligence A Modern,,Paperback,£6.46,https://m.media-amazon.com/images/I/61rL-wbtHQS._AC_UY218_.jpg
Hands-On Genetic Algorithms with Python: Applying genetic algorithms to solve real-world deep learning and artificial intelligence problems,4.6 out of 5 stars,Paperback,£29.99,https://m.media-amazon.com/images/I/61uLMrmToJL._AC_UY218_.jpg
Hands-On Unsupervised Learning Using Python: How to Build Applied Machine Learning Solutions from Unlabeled Data,4.1 out of 5 stars,Paperback,£30.80,https://m.media-amazon.com/images/I/71Oifx7MnMS._AC_UY218_.jpg
Up and Running Google AutoML and AI Platform: Building Machine Learning and NLP Models Using AutoML and AI Platform for Production Environment,5.0 out of 5 stars,Paperback,£18.99,https://m.media-amazon.com/images/I/71GYH7gZkPL._AC_UY218_.jpg
MACHINE LEARNING: A Step-by-Step Guide on Machine Learning for Absolute Beginners,,Kindle Edition,£0.00,https://m.media-amazon.com/images/I/719xScH2DzL._AC_UY218_.jpg
Machine Learning for Factor Investing: R Version (Chapman & Hall/CRC Financial Mathematics Series),3.9 out of 5 stars,Paperback,£52.63,https://m.media-amazon.com/images/I/61f0Qy6fCCL._AC_UY218_.jpg
An Introduction to Machine Learning and Quantitative Finance: 0 (Advanced Textbooks In Mathematics),3.0 out of 5 stars,Hardcover,£51.72,https://m.media-amazon.com/images/I/61ENZ-BHNuL._AC_UY218_.jpg
Machine,4.1 out of 5 stars,Prime Video,£2.49,https://m.media-amazon.com/images/I/815-RaLDIkL._AC_UY218_.jpg
Practical Automated Machine Learning on Azure: Using Azure Machine Learning to Quickly Build AI Solutions,3.8 out of 5 stars,Paperback,£33.52,https://m.media-amazon.com/images/I/81-SGy1qqGL._AC_UY218_.jpg
Machine Learning: 4 Books in 1: Basic Concepts + Artificial Intelligence + Python Programming + Python Machine Learning. A Comprehensive Guide to Build Intelligent Systems Using Python Libraries,4.2 out of 5 stars,Kindle Edition,£0.00,https://m.media-amazon.com/images/I/81za5FW7uNL._AC_UY218_.jpg
Ensemble Machine Learning Cookbook: Over 35 practical recipes to explore ensemble machine learning techniques using Python,4.4 out of 5 stars,Paperback,£33.99,https://m.media-amazon.com/images/I/61+UPvUKRjL._AC_UY218_.jpg
"Learning Deep Learning: Theory and Practice of Neural Networks, Computer Vision, Natural Language Processing, and Transformers Using TensorFlow",4.6 out of 5 stars,Paperback,£31.49,https://m.media-amazon.com/images/I/51YxkXyzhqL._AC_UY218_.jpg
40 Algorithms Every Programmer Should Know: Hone your problem-solving skills by learning different algorithms and their implementation in Python,4.3 out of 5 stars,Kindle Edition,£13.64,https://m.media-amazon.com/images/I/91bOY3iP73L._AC_UY218_.jpg
Machine Learning for Finance: Principles and practice for financial insiders,3.1 out of 5 stars,Paperback,£29.99,https://m.media-amazon.com/images/I/619+x73oqVL._AC_UY218_.jpg
Programming Machine Learning: From Coding to Deep Learning,4.7 out of 5 stars,Paperback,£25.65,https://m.media-amazon.com/images/I/61BQ-1XSgtL._AC_UY218_.jpg
"Soup Maker Recipe Book UK: More than 120 Fast, Delicious and Healthy Soup Maker Dishes with Easy to Follow Instructions. Boost Your Immune System and Nourish the Soul.",4.1 out of 5 stars,Kindle Edition,£0.00,https://m.media-amazon.com/images/I/61GCx-t+w4L._AC_UY218_.jpg
Machine Learning Engineering in Action,,Paperback,£45.39,https://m.media-amazon.com/images/I/61HqqBZkdVL._AC_UY218_.jpg
"Awesome Machine Learning Specialist I Survived 2020: Funny Quarantine Toilet Paper Gift Notebook for Coworker, Appreciation, Birthday │ Blank Ruled Writing Journal Diary 6x9",,Paperback,£5.99,https://m.media-amazon.com/images/I/71AeCoqykWL._AC_UY218_.jpg
"Awesome Machine Learning Specialist I Survived 2020: Funny Quarantine Toilet Paper Gift Notebook for Coworker, Appreciation, Birthday │ Blank Ruled Writing Journal Diary 6x9",,Paperback,£5.99,https://m.media-amazon.com/images/I/71AeCoqykWL._AC_UY218_.jpg
Machine Learning for Hackers: Case Studies and Algorithms to Get You Started,3.7 out of 5 stars,Paperback,£31.08,https://m.media-amazon.com/images/I/51cwV1i8S6L._AC_UY218_.jpg
Learning Tensorflow.js: Powerful Machine Learning in JavaScript,4.6 out of 5 stars,Paperback,£22.37,https://m.media-amazon.com/images/I/819laFovqZS._AC_UY218_.jpg
Artificial Intelligence for Business: Understand Neural Networks and Machine Learning for Robotics. A Step-By-Step Method to Develop AI and Ml Projects for Business,4.5 out of 5 stars,Paperback,£10.64,https://m.media-amazon.com/images/I/61N9NGn+VML._AC_UY218_.jpg
The Hundred Decker Bus,4.8 out of 5 stars,Paperback,£5.79,https://m.media-amazon.com/images/I/61VHnlJuKEL._AC_UY218_.jpg
Monsters of Man,3.7 out of 5 stars,Prime Video,£3.99,https://m.media-amazon.com/images/I/71skSH+QSPL._AC_UY218_.jpg
"Machine Learning with BigQuery ML: Create, execute, and improve machine learning models in BigQuery using standard SQL queries",4.5 out of 5 stars,Paperback,£33.99,https://m.media-amazon.com/images/I/61IL7y24HKS._AC_UY218_.jpg
"Automated Machine Learning: Methods, Systems, Challenges (The Springer Series on Challenges in Machine Learning)",4.4 out of 5 stars,Hardcover,£44.99,https://m.media-amazon.com/images/I/616C4N9e24L._AC_UY218_.jpg
A Few Things I Know About Her: A Personally Machine Learning Inspired Approach to Understand Surrounding Nature (Intelligent Systems Reference Library Book 219),,Kindle Edition,£87.60,https://m.media-amazon.com/images/I/61rB93bX-AL._AC_UY218_.jpg
Machine Learning: A Journey to Deep Learning with Exercises and Answers,3.5 out of 5 stars,Hardcover,£118.99,https://m.media-amazon.com/images/I/71t5Ahs5w2L._AC_UY218_.jpg
"Beginning Apache Spark 3: With DataFrame, Spark SQL, Structured Streaming, and Spark Machine Learning Library",5.0 out of 5 stars,Paperback,£41.77,https://m.media-amazon.com/images/I/61CxdwZ6x4L._AC_UY218_.jpg
Introduction to Statistical and Machine Learning Methods for Data Science,5.0 out of 5 stars,Paperback,£19.72,https://m.media-amazon.com/images/I/615DdB6hAzL._AC_UY218_.jpg
"Python Machine Learning: Machine Learning and Deep Learning with Python, scikit-learn, and TensorFlow, 2nd Edition",4.4 out of 5 stars,Paperback,£32.99,https://m.media-amazon.com/images/I/71PCVqFXvgL._AC_UY218_.jpg
Graph Machine Learning: Take graph data to the next level by applying machine learning techniques and algorithms,4.1 out of 5 stars,Paperback,£33.99,https://m.media-amazon.com/images/I/61hbx6Z0y3S._AC_UY218_.jpg
Machine Learning in Production: Developing and Optimizing Data Science Workflows and Applications (Addison-Wesley Data & Analytics Series),2.7 out of 5 stars,Paperback,£32.99,https://m.media-amazon.com/images/I/81OHMBXyW3L._AC_UY218_.jpg
Teaching Machines: The History of Personalized Learning,3.3 out of 5 stars,Hardcover,£19.09,https://m.media-amazon.com/images/I/71s++7OH10L._AC_UY218_.jpg
"Python Machine Learning: Machine Learning and Deep Learning with Python, scikit-learn, and TensorFlow, 2nd Edition",4.4 out of 5 stars,Paperback,£32.99,https://m.media-amazon.com/images/I/71PCVqFXvgL._AC_UY218_.jpg
Graph Machine Learning: Take graph data to the next level by applying machine learning techniques and algorithms,4.1 out of 5 stars,Paperback,£33.99,https://m.media-amazon.com/images/I/61hbx6Z0y3S._AC_UY218_.jpg
Artificial Intelligence (WIRED guides): How Machine Learning Will Shape the Next Decade,4.5 out of 5 stars,Kindle Edition,£3.99,https://m.media-amazon.com/images/I/715LfkK4fKL._AC_UY218_.jpg
Machine Learning in Production: Developing and Optimizing Data Science Workflows and Applications (Addison-Wesley Data & Analytics Series),2.7 out of 5 stars,Paperback,£32.99,https://m.media-amazon.com/images/I/81OHMBXyW3L._AC_UY218_.jpg
Teaching Machines: The History of Personalized Learning,3.3 out of 5 stars,Hardcover,£19.09,https://m.media-amazon.com/images/I/71s++7OH10L._AC_UY218_.jpg
"The Only Cryptocurrency Investing Book You'll Ever Need: An Absolute Beginner's Guide to the Biggest ""Millionaire Maker"" Asset of 2022 and Beyond - Including How to Make Money from NFTs",4.5 out of 5 stars,Paperback,£12.26,https://m.media-amazon.com/images/I/61lsDLRjfzL._AC_UY218_.jpg
"Generative Deep Learning: Teaching Machines to Paint, Write, Compose and Play",4.5 out of 5 stars,Paperback,£35.99,https://m.media-amazon.com/images/I/71fGFYhl9WL._AC_UY218_.jpg
Machine Learning and Big Data with kdb+/q (Wiley Finance),4.6 out of 5 stars,Hardcover,£48.21,https://m.media-amazon.com/images/I/513mD7OX+aL._AC_UY218_.jpg
Blippi - Blippi's Educational Adventures for Kids,,Prime Video,£1.89,https://m.media-amazon.com/images/I/71zgiduQpcL._AC_UY218_.jpg
EEG Signal Processing and Machine Learning,,Hardcover,£68.62,https://m.media-amazon.com/images/I/81VRZYUKmJL._AC_UY218_.jpg
Machine Learning in Radiation Oncology: A Guide for Clinicians,,Paperback,£138.00,https://m.media-amazon.com/images/I/01RmK+J4pJL._AC_UY218_.gif
Artificial Intelligence and Machine Learning Fundamentals: Develop real-world applications powered by the latest AI advances,3.6 out of 5 stars,Paperback,£22.99,https://m.media-amazon.com/images/I/71XUDDhS3eL._AC_UY218_.jpg
"Mastering Machine Learning Algorithms: Expert techniques for implementing popular machine learning algorithms, fine-tuning your models, and understanding how they work, 2nd Edition",4.4 out of 5 stars,Paperback,£33.99,https://m.media-amazon.com/images/I/7165DyKirEL._AC_UY218_.jpg
INTERNET OF THINGS (IOT) FOR BEGINNERS AND EXPERTS: Beginner To Expert Guide On How The Internet Works In To Better Organisations And Businesses,,Kindle Edition,£0.00,https://m.media-amazon.com/images/I/71MpuNGEvdL._AC_UY218_.jpg
"Machine Learning Mastery With Python: Understand Your Data, Create Accurate Models and Work Projects End-To-End",,Paperback,£33.74,https://m.media-amazon.com/images/I/51EQe53T3GL._AC_UY218_.jpg
Machine Learning Concepts with Python and the Jupyter Notebook Environment: Using Tensorflow 2.0,2.5 out of 5 stars,Paperback,£18.92,https://m.media-amazon.com/images/I/61+RpukOlCL._AC_UY218_.jpg
"Machine Learning Mastery With Python: Understand Your Data, Create Accurate Models and Work Projects End-To-End",,Paperback,£33.74,https://m.media-amazon.com/images/I/51EQe53T3GL._AC_UY218_.jpg
Machine Learning Concepts with Python and the Jupyter Notebook Environment: Using Tensorflow 2.0,2.5 out of 5 stars,Paperback,£18.92,https://m.media-amazon.com/images/I/61+RpukOlCL._AC_UY218_.jpg
"I Love Machine Learning: Lined Notebook / Journal, 6"" x 9"", 120 Pages, Matte Finish, White paper",,Paperback,£5.15,https://m.media-amazon.com/images/I/61pNdX5uuCL._AC_UY218_.jpg
Pattern Recognition and Machine Learning (Information Science and Statistics),4.1 out of 5 stars,Paperback,£51.46,https://m.media-amazon.com/images/I/71qwesE5tWL._AC_UY218_.jpg
Getting Started with Amazon SageMaker Studio: Learn to build end-to-end machine learning projects in the SageMaker machine learning IDE,,Paperback,£29.99,https://m.media-amazon.com/images/I/61yjzh5MDOL._AC_UY218_.jpg
Introducing MLOps: How to Scale Machine Learning in the Enterprise,3.7 out of 5 stars,Paperback,£32.44,https://m.media-amazon.com/images/I/61C-LT8m2yS._AC_UY218_.jpg
Hands-On Mathematics for Deep Learning: Build a solid mathematical foundation for training efficient deep neural networks,4.2 out of 5 stars,Paperback,£29.99,https://m.media-amazon.com/images/I/71FzGHjNuEL._AC_UY218_.jpg
SQL: The Ultimate Intermediate Guide to Learning SQL Programming Step by Step (Computer Programming),4.4 out of 5 stars,Paperback,£18.99,https://m.media-amazon.com/images/I/61RFbd30NDL._AC_UY218_.jpg
Machine Learning and Data Science Blueprints for Finance: From Building Trading Strategies to Robo-Advisors Using Python,4.0 out of 5 stars,Paperback,£35.99,https://m.media-amazon.com/images/I/81dHL7pFWPL._AC_UY218_.jpg
A Computational Approach to Statistical Learning (Chapman & Hall/CRC Texts in Statistical Science),5.0 out of 5 stars,Hardcover,£66.99,https://m.media-amazon.com/images/I/614I054z+2L._AC_UY218_.jpg
Python Machine Learning for Beginners: All You Need to Know about Machine Learning with Python,5.0 out of 5 stars,Paperback,£9.95,https://m.media-amazon.com/images/I/61KfCRIlPTL._AC_UY218_.jpg
Machine Learning with Amazon SageMaker Cookbook: 80 proven recipes for data scientists and developers to perform machine learning experiments and deployments,4.6 out of 5 stars,Paperback,£37.99,https://m.media-amazon.com/images/I/61oRLO5cOSL._AC_UY218_.jpg
Introduction to Machine Learning with R: Rigorous Mathematical Analysis,4.1 out of 5 stars,Paperback,£26.65,https://m.media-amazon.com/images/I/91LEXW5sO1L._AC_UY218_.jpg
Automated Machine Learning on AWS: Fast-track the development of your production-ready machine learning applications the AWS way,,Paperback,£33.99,https://m.media-amazon.com/images/I/617YBa5hDZL._AC_UY218_.jpg
"Deep Learning with Python, Second Edition",4.9 out of 5 stars,Paperback,£45.36,https://m.media-amazon.com/images/I/61N9oTVT1IL._AC_UY218_.jpg
Hands–On Machine Learning with Scikit–Learn and TensorFlow,4.6 out of 5 stars,Paperback,,https://m.media-amazon.com/images/I/71P4atQpTbL._AC_UY218_.jpg
Introduction to Machine Learning with R: Rigorous Mathematical Analysis,4.1 out of 5 stars,Paperback,£26.65,https://m.media-amazon.com/images/I/91LEXW5sO1L._AC_UY218_.jpg
Automated Machine Learning on AWS: Fast-track the development of your production-ready machine learning applications the AWS way,,Paperback,£33.99,https://m.media-amazon.com/images/I/617YBa5hDZL._AC_UY218_.jpg
"Deep Learning with Python, Second Edition",4.9 out of 5 stars,Paperback,£45.36,https://m.media-amazon.com/images/I/61N9oTVT1IL._AC_UY218_.jpg
Hands–On Machine Learning with Scikit–Learn and TensorFlow,4.6 out of 5 stars,Paperback,,https://m.media-amazon.com/images/I/71P4atQpTbL._AC_UY218_.jpg
"Machine Learning: An Algorithmic Perspective, Second Edition (Chapman & Hall/CRC Machine Learning & Pattern Recognition)",4.2 out of 5 stars,Hardcover,£55.55,https://m.media-amazon.com/images/I/81w8rvxR+UL._AC_UY218_.jpg
"The Ultimate Modern Guide to Artificial Intelligence: Including Machine Learning, Deep Learning, IoT, Data Science, Robotics, The Future of Jobs, Required Upskilling and Intelligent Industries",4.1 out of 5 stars,Paperback,£12.49,https://m.media-amazon.com/images/I/71pVT4N6gVL._AC_UY218_.jpg
"Statistics, Data Mining, and Machine Learning in Astronomy: A Practical Python Guide for the Analysis of Survey Data, Updated Edition: 13 (Princeton Series in Modern Observational Astronomy, 13)",4.9 out of 5 stars,Hardcover,£47.18,https://m.media-amazon.com/images/I/81jP9Ip7f1L._AC_UY218_.jpg
A Machine Learning based Pairs Trading Investment Strategy (SpringerBriefs in Applied Sciences and Technology),5.0 out of 5 stars,Paperback,£36.99,https://m.media-amazon.com/images/I/51C+USMByFL._AC_UY218_.jpg
"Data-Driven Science and Engineering: Machine Learning, Dynamical Systems, and Control",,Hardcover,£43.99,https://m.media-amazon.com/images/I/51l55yq9w4L._AC_UY218_.jpg
Machine Learning With Python For Beginners: A Step-By-Step Guide with Hands-On Projects (Learn Coding Fast with Hands-On Project),4.4 out of 5 stars,Paperback,£12.24,https://m.media-amazon.com/images/I/61P8iNfgtEL._AC_UY218_.jpg
The Only Bitcoin Investing Book You’ll Ever Need: An Absolute Beginner’s Guide to the Cryptocurrency Which Is Changing the World and Your Finances in 2021 & Beyond,4.3 out of 5 stars,Paperback,£11.71,https://m.media-amazon.com/images/I/61oz1F5-3gL._AC_UY218_.jpg
"Continuous Machine Learning with Kubeflow: Performing Reliable MLOps with Capabilities of TFX, Sagemaker and Kubernetes (English Edition)",5.0 out of 5 stars,Paperback,£22.99,https://m.media-amazon.com/images/I/71Hf3c2gQiL._AC_UY218_.jpg
An Introduction to Python Programming: A Practical Approach: Using Python to Solve Complex Problems with a Burst of Machine Learning (English Edition),,Paperback,£25.99,https://m.media-amazon.com/images/I/61SayYbwwqL._AC_UY218_.jpg
"The Python Bible 5 in 1: Volumes One To Five (Beginner, Intermediate, Data Science, Machine Learning, Finance)",4.0 out of 5 stars,Paperback,£24.87,https://m.media-amazon.com/images/I/61+Z01eU-7L._AC_UY218_.jpg
"The Sciences of the Artificial, reissue of the third edition with a new introduction by John Laird",4.7 out of 5 stars,Kindle Edition,£20.79,https://m.media-amazon.com/images/I/81OF6zZ3qRL._AC_UY218_.jpg
Machine Learning Interviews,1.0 out of 5 stars,Paperback,£15.70,https://m.media-amazon.com/images/I/51mouno9w5L._AC_UY218_.jpg
I Predict Future: Funny Machine Learning Lined Notebook for Students and Data Scientists (6 x 9) 110 Pages,,Paperback,£5.40,https://m.media-amazon.com/images/I/71VlMVFByEL._AC_UY218_.jpg
Fun Q: A Functional Introduction to Machine Learning in Q,5.0 out of 5 stars,Paperback,£39.48,https://m.media-amazon.com/images/I/61cq-8jdk5L._AC_UY218_.jpg
Transcendence,4.2 out of 5 stars,Prime Video,£2.49,https://m.media-amazon.com/images/I/71zHlF75N+L._AC_UY218_.jpg
Deep Learning for Coders with fastai and PyTorch: AI Applications Without a PhD,4.7 out of 5 stars,Paperback,£37.35,https://m.media-amazon.com/images/I/91CB1tXICjL._AC_UY218_.jpg
"Learn AI with Python: Explore Machine Learning and Deep Learning techniques for Building Smart AI Systems Using Scikit-Learn, NLTK, NeuroLab, and Keras (English Edition)",4.4 out of 5 stars,Paperback,£21.99,https://m.media-amazon.com/images/I/714RXauImcL._AC_UY218_.jpg
"Automated Machine Learning: Hyperparameter optimization, neural architecture search, and algorithm selection with cloud platforms",3.9 out of 5 stars,Paperback,£33.99,https://m.media-amazon.com/images/I/71rEb5ljfoL._AC_UY218_.jpg
"Machine Learning :The Complete Step-By-Step Guide To Learning and Understanding Machine Learning From Beginners, Intermediate Advanced, To Expert Concepts and Techniques",3.0 out of 5 stars,Paperback,£22.88,https://m.media-amazon.com/images/I/61emaWAK+nL._AC_UY218_.jpg
Machine learning with Python: The Definitive Tool to Improve Your Python Programming and Deep Learning to Take You to The Next Level of Coding and Algorithms Optimization,4.4 out of 5 stars,Paperback,£17.95,https://m.media-amazon.com/images/I/61nnrwpMMFL._AC_UY218_.jpg
Machine Learning: This book includes: Basic Concepts + Artificial Intelligence + Python Programming + Python Machine Learning. A Comprehensive Guide ... Using Python Libraries and Advanced Features,3.0 out of 5 stars,Paperback,£20.99,https://m.media-amazon.com/images/I/718vCB3So1L._AC_UY218_.jpg
"Machine Learning: 2 Books in 1 – The Complete Guide for Beginners to Master Neural Networks, Artificial Intelligence, and Data Science with Python (2nd Edition) (Python Programming)",4.2 out of 5 stars,Kindle Edition,£0.00,https://m.media-amazon.com/images/I/71tGzn+k1XL._AC_UY218_.jpg
The Alignment Problem: How Can Artificial Intelligence Learn Human Values?,4.4 out of 5 stars,Paperback,£8.64,https://m.media-amazon.com/images/I/71t-Mx0dArL._AC_UY218_.jpg
A Thousand Brains: A New Theory of Intelligence,4.5 out of 5 stars,Hardcover,£15.99,https://m.media-amazon.com/images/I/71Q6YeQYz7L._AC_UY218_.jpg
"Mastering Azure Machine Learning: Execute large-scale end-to-end machine learning with Azure, 2nd Edition",,Paperback,£33.99,https://m.media-amazon.com/images/I/81sG5Jt13HL._AC_UY218_.jpg
"Patterns, Predictions, and Actions: Foundations of Machine Learning",,Hardcover,£37.48,https://m.media-amazon.com/images/I/01RmK+J4pJL._AC_UY218_.gif
"PYTHON PROGRAMMING FOR BEGINNERS: A CRASH COURSE WITH HANDS-ON PROJECTS TO LEARN PYTHON CODING, GAME PROGRAMMING WITH NO CODING EXPERIENCE IN 7 DAYS TO MASTER MACHINE LEARNING & BIG DATA ANALYSIS",4.3 out of 5 stars,Paperback,£19.97,https://m.media-amazon.com/images/I/61+0JXDhNNL._AC_UY218_.jpg
Machine Learning by Tutorials (Second Edition): Beginning Machine Learning for Apple and iOS,5.0 out of 5 stars,Paperback,£43.22,https://m.media-amazon.com/images/I/61Nhquas2DS._AC_UY218_.jpg
"Hands-On Machine Learning with C++: Build, train, and deploy end-to-end machine learning and deep learning pipelines",4.2 out of 5 stars,Paperback,£37.99,https://m.media-amazon.com/images/I/71VeLeHs3KL._AC_UY218_.jpg
Machine Learning with Quantum Computers (Quantum Science and Technology),5.0 out of 5 stars,Hardcover,£109.99,https://m.media-amazon.com/images/I/613X-AikjoL._AC_UY218_.jpg
Statistics for Machine Learning: Implement Statistical methods used in Machine Learning using Python (English Edition),3.7 out of 5 stars,Paperback,£19.47,https://m.media-amazon.com/images/I/61NfQzg8f5L._AC_UY218_.jpg
Amazon SageMaker Best Practices: Proven tips and tricks to build successful machine learning solutions on Amazon SageMaker,5.0 out of 5 stars,Paperback,£33.99,https://m.media-amazon.com/images/I/61NvDnlbwPL._AC_UY218_.jpg
"Business Data Science: Combining Machine Learning and Economics to Optimize, Automate, and Accelerate Business Decisions (BUSINESS BOOKS)",4.4 out of 5 stars,Hardcover,£21.45,https://m.media-amazon.com/images/I/516nl0MWn9L._AC_UY218_.jpg
"Learning with Kernels: Support Vector Machines, Regularization, Optimization, and Beyond (Adaptive Computation and Machine Learning series)",4.3 out of 5 stars,Paperback,£49.44,https://m.media-amazon.com/images/I/71929Dhy5YL._AC_UY218_.jpg
Artificial Intelligence with Python Cookbook: Proven recipes for applying AI algorithms and deep learning techniques using TensorFlow 2.x and PyTorch 1.6,4.8 out of 5 stars,Paperback,£29.99,https://m.media-amazon.com/images/I/71AYb2vi2aL._AC_UY218_.jpg
Machine Learning with PySpark: With Natural Language Processing and Recommender Systems,4.5 out of 5 stars,Paperback,£31.49,https://m.media-amazon.com/images/I/61d2AJ5WDxL._AC_UY218_.jpg
Machine Learning Guide,,Podcast,£0.00,https://m.media-amazon.com/images/I/81F2bw8zaiL._AC_UY218_.jpg
Machine Learning: a Concise Introduction: 285 (Wiley Series in Probability and Statistics),5.0 out of 5 stars,Hardcover,£66.68,https://m.media-amazon.com/images/I/81PwdxuCQ7L._AC_UY218_.jpg
Big Data and Machine Learning in Quantitative Investment (Wiley Finance),4.3 out of 5 stars,Hardcover,£33.56,https://m.media-amazon.com/images/I/81ZUps3GK9S._AC_UY218_.jpg
Machines that Think: Everything you need to know about the coming age of artificial intelligence (New Scientist Instant Expert),4.7 out of 5 stars,Paperback,£8.75,https://m.media-amazon.com/images/I/61iDs4S0OIL._AC_UY218_.jpg
"Machine Learning: A Complete Exploration of Highly Advanced Machine Learning Concepts, Best Practices, and Techniques",5.0 out of 5 stars,Audible Audiobooks,£0.00,https://m.media-amazon.com/images/I/81xXz6hQ4EL._AC_UY218_.jpg
"Mastering Deep Learning with Python: 2 Manuscripts: The Ultimate Step By Step Guide To Learn Mastering Deep Learning & Python In 7 Days (Machine Learning, Data Science and Artificial Intelligence)",4.5 out of 5 stars,Kindle Edition,£0.00,https://m.media-amazon.com/images/I/91ucTfMFRfL._AC_UY218_.jpg
Read with Oxford: Stages 5-6: My Winnie and Wilbur Reading and Activity Kit,4.7 out of 5 stars,Paperback,£11.28,https://m.media-amazon.com/images/I/51Jm0879bcL._AC_UY218_.jpg
Now Go Build with Werner Vogels,,Prime Video,,https://m.media-amazon.com/images/I/71rzp1qHzBL._AC_UY218_.jpg
Now Go Build with Werner Vogels,,Prime Video,,https://m.media-amazon.com/images/I/71rzp1qHzBL._AC_UY218_.jpg
Machine Learning: 2 Books in 1: An Introduction Math Guide for Beginners to Understand Data Science Through the Business Applications,3.4 out of 5 stars,Paperback,£3.03,https://m.media-amazon.com/images/I/71vf7NoqsSL._AC_UY218_.jpg
I Predict Future: Funny Machine Learning Lined Notebook for Students and Data Scientists (6 x 9) 110 Pages,,Paperback,£5.40,https://m.media-amazon.com/images/I/417VTlK0R5L._AC_UY218_.jpg
Understanding Machine Learning: From Theory to Algorithms,4.3 out of 5 stars,Hardcover,£39.83,https://m.media-amazon.com/images/I/714PHcpl55L._AC_UY218_.jpg
"The Calabi–Yau Landscape: From Geometry, to Physics, to Machine Learning: 2293 (Lecture Notes in Mathematics, 2293)",5.0 out of 5 stars,Paperback,£49.99,https://m.media-amazon.com/images/I/51vMIKsnSgL._AC_UY218_.jpg
Python: For Beginners A Crash Course Guide To Learn Python in 1 Week,4.2 out of 5 stars,Paperback,£14.99,https://m.media-amazon.com/images/I/61Lt967F+2L._AC_UY218_.jpg
Monroe Doctrine : Volume VII,,Kindle Edition,£7.99,https://m.media-amazon.com/images/I/61KFQOTC5VL._AC_UY218_.jpg
Genetic Algorithms and Machine Learning for Programmers: Create AI Models and Evolve Solutions (Pragmatic Programmers),4.0 out of 5 stars,Paperback,£24.99,https://m.media-amazon.com/images/I/81KVBsY0EPL._AC_UY218_.jpg
"Beginning Mathematica and Wolfram for Data Science: Applications in Data Analysis, Machine Learning, and Neural Networks",3.3 out of 5 stars,Paperback,£25.10,https://m.media-amazon.com/images/I/61dGN1dzp-L._AC_UY218_.jpg
"Machine Learning with the Elastic Stack: Gain valuable insights from your data with Elastic Stack's machine learning features, 2nd Edition",5.0 out of 5 stars,Paperback,£33.99,https://m.media-amazon.com/images/I/71LYv2C1ehS._AC_UY218_.jpg
Fundamentals of Pattern Recognition and Machine Learning,5.0 out of 5 stars,Paperback,£44.99,https://m.media-amazon.com/images/I/51JtMg1BDxL._AC_UY218_.jpg
Intelligent Workloads at the Edge: Deliver cyber-physical outcomes with data and machine learning using AWS IoT Greengrass,5.0 out of 5 stars,Paperback,£33.99,https://m.media-amazon.com/images/I/61JTEAPtOuL._AC_UY218_.jpg
"Machine Learning Algorithms: Popular algorithms for data science and machine learning, 2nd Edition",4.2 out of 5 stars,Paperback,£37.99,https://m.media-amazon.com/images/I/61neNbg2g5L._AC_UY218_.jpg
Machine Learning: The Art and Science of Algorithms that Make Sense of Data,4.2 out of 5 stars,Paperback,£34.61,https://m.media-amazon.com/images/I/71hXFJuIHvL._AC_UY218_.jpg
