Title,Ratings,Book_format,Price,Cover
"Machine Learning for Time-Series with Python: Forecast, predict, and detect anomalies with state-of-the-art machine learning methods",4.0 out of 5 stars,Paperback,£29.99,https://m.media-amazon.com/images/I/61CucXqLEyL._AC_UY218_.jpg
Interpretable Machine Learning with Python: Learn to build interpretable high-performance models with hands-on real-world examples,4.5 out of 5 stars,Paperback,£37.99,https://m.media-amazon.com/images/I/710nbBRYUJL._AC_UY218_.jpg
Blaze and the Monster Machines - Volume 2,3.9 out of 5 stars,Prime Video,£1.89,https://m.media-amazon.com/images/I/91cXWjWFCYL._AC_UY218_.jpg
C#: The Ultimate Intermediate Guide To Learn C# Programming Step By Step (Computer Programming),4.1 out of 5 stars,Paperback,£22.99,https://m.media-amazon.com/images/I/610dv7rfDrL._AC_UY218_.jpg
Sewing School 2: Lessons in Machine Sewing; 20 Projects Kids Will Love to Make,4.6 out of 5 stars,Spiral-bound,£12.52,https://m.media-amazon.com/images/I/91HxCzO4hfL._AC_UY218_.jpg
Pattern Recognition and Machine Learning (Information Science and Statistics) (Information Science and Statistics),4.7 out of 5 stars,Hardcover,£53.12,https://m.media-amazon.com/images/I/71fqxXDY2ZL._AC_UY218_.jpg
Secure Compressed Data Processing- Application to Machine Learning and Connected Implants,,Kindle Edition,£0.00,https://m.media-amazon.com/images/I/81LOjd0aKsL._AC_UY218_.jpg
HATE SPEECH DETECTION AND SENTIMENT ANALYSIS USING MACHINE LEARNING AND DEEP LEARNING WITH PYTHON GUI,,Paperback,£22.87,https://m.media-amazon.com/images/I/61DBJ2rbKvL._AC_UY218_.jpg
Machine Learning Engineering with Python: Manage the production life cycle of machine learning models using MLOps with practical examples,4.7 out of 5 stars,Paperback,£29.99,https://m.media-amazon.com/images/I/61j4ewGmZrL._AC_UY218_.jpg
Practical Discrete Mathematics: Discover math principles that fuel algorithms for computer science and machine learning with Python,4.2 out of 5 stars,Paperback,£44.99,https://m.media-amazon.com/images/I/7191HOxgB4L._AC_UY218_.jpg
MACHINE LEARNING: 5 Books in 1 – The Mathematics of Computer Science and Applied Artificial Intelligence,3.4 out of 5 stars,Paperback,£39.90,https://m.media-amazon.com/images/I/61ZG+eQ1GFL._AC_UY218_.jpg
Machine Learning for Time Series Forecasting with Python,3.8 out of 5 stars,Paperback,£29.99,https://m.media-amazon.com/images/I/61uE-UO1t7L._AC_UY218_.jpg
"Managing Architectural Contributions in Software Projects- Metrics, Empirical Analytics, and Machine Learning",,Kindle Edition,£0.00,https://m.media-amazon.com/images/I/81LOjd0aKsL._AC_UY218_.jpg
"Data Science Projects with Python: A case study approach to gaining valuable insights from real data with machine learning, 2nd Edition",4.0 out of 5 stars,Paperback,£26.99,https://m.media-amazon.com/images/I/61UgIJAuuWL._AC_UY218_.jpg
